codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
86907,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86906,BRASIL,SÃO JOSÉ DO RIO PRETO,SP,INCIDENTE,-49.40694444,-20.81722222,CONTATO ANORMAL COM A PISTA |
86905,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,PERDA DE CONTROLE EM VOO
86904,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-51.17111111,-29.99472222,OPERAÇÃO A BAIXA ALTITUDE
86903,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,COLISÃO COM AVE
86902,BRASIL,CURITIBA,PR,INCIDENTE,-49.17611111,-25.53166667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86901,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86898,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,CONTATO ANORMAL COM A PISTA |
86897,BRASIL,VITÓRIA,ES,INCIDENTE,-40.28638889,-20.25805556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86896,BRASIL,PORTO SEGURO,BA,INCIDENTE,-39.07777778,-16.43805556,CONTATO ANORMAL COM A PISTA |
86895,BRASIL,VOTUPORANGA,SP,INCIDENTE GRAVE,-50.00250000,-20.45722222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86894,BRASIL,ARAGUAÍNA,TO,INCIDENTE GRAVE,-48.24083333,-72.28333333,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86893,BRASIL,MIGUELÓPOLIS,SP,ACIDENTE,-48.26388889,-20.18055556,COLISÃO COM AVE
86891,BRASIL,RIBEIRÃO PRETO,SP,INCIDENTE,-47.77666667,-21.13638889,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86890,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86889,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,CONTATO ANORMAL COM A PISTA |
86888,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86887,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86886,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86885,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86882,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,OPERAÇÃO A BAIXA ALTITUDE
86881,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
