codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
83505,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83504,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83503,BRASIL,MANAUS,AM,INCIDENTE,-6005055555555,-3041111111111,COLISÃO COM AVE
83502,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83501,BRASIL,ITU,SP,INCIDENTE,-4740638888888,-2317305555555,COLISÃO COM AVE
83500,BRASIL,RIO CLARO,SP,ACIDENTE,-475625,-2243166666666,COLISÃO COM AVE
83499,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83498,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83497,BRASIL,BELÉM,PA,INCIDENTE,-4847888888888,-1384722222222,COLISÃO COM AVE
83496,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,COLISÃO COM AVE
83495,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,COLISÃO COM AVE
83494,BRASIL,BELÉM,PA,INCIDENTE,-4847888888888,-1384722222222,COLISÃO COM FAUNA
83493,BRASIL,MACEIÓ,AL,INCIDENTE,-3579166666666,-9510833333333,CONTATO ANORMAL COM A PISTA |
83492,BRASIL,SÃO PAULO,SP,INCIDENTE,-4665638888888,-2362611111111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83491,BRASIL,PALMAS,TO,INCIDENTE,-4835777777777,-10.29,PERDA DE CONTROLE NO SOLO
83490,BRASIL,PORTO SEGURO,BA,INCIDENTE,-3907777777777,-1643805555555,COLISÃO COM AVE
83489,BRASIL,NAVEGANTES,SC,INCIDENTE,-4865083333333,-2687861111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83488,BRASIL,PARAUAPEBAS,PA,INCIDENTE,-5000333333333,-6117777777777,COLISÃO COM AVE
83487,BRASIL,FOZ DO IGUAÇU,PR,INCIDENTE,-54485,-2560027777777,COLISÃO COM AVE
83486,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83485,BRASIL,SÃO PAULO,SP,INCIDENTE,-4665638888888,-2362611111111,COLISÃO COM AVE
83484,BRASIL,JOÃO PESSOA,PB,INCIDENTE,-3495027777777,-7148333333333,COLISÃO COM AVE
83483,BRASIL,GOIÂNIA,GO,INCIDENTE,-4922111111111,-166325,COLISÃO COM AVE
83482,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,OPERAÇÕES NO SOLO
83481,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83480,BRASIL,CAMPO GRANDE,MS,INCIDENTE,-5467027777777,-2046944444444,COLISÃO COM AVE
83479,BRASIL,JOÃO PESSOA,PB,INCIDENTE,-3495027777777,-7148333333333,COLISÃO COM AVE
83478,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
83477,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83476,BRASIL,SÃO LUÍS,MA,INCIDENTE,-4423611111111,-2586944444444,COLISÃO COM AVE
83475,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
